Cn Gene Value calculated;Gene;Tumor Sample Barcode;Max. Gene Sort Value;Max. Weight for nested sorting
CN amplification (CN >= 0.6);CNOT1;TCGA-G2-A3VY;-0,08089476;1679616
CN amplification (CN >= 0.6);PIK3CA;TCGA-G2-A3VY;-6,77051e-13;1679616
CN amplification (CN >= 0.6);TXNIP;TCGA-FD-A43P;-0,03475802;1679616
CN amplification (CN >= 0.6);PIK3CA;TCGA-EW-A1PC;-4,567e-13;1679616
CN amplification (CN >= 0.6);TPP2;TCGA-EW-A1PB;-0,08620584;1679616
CN amplification (CN >= 0.6);RUNX1;TCGA-E9-A3X8;-3,676032e-11;1679616
CN amplification (CN >= 0.6);HRNR;TCGA-E2-A2P6;-0,000298002;1679616
CN amplification (CN >= 0.6);FRMPD2;TCGA-E2-A10C;-0,06569993;1679616
CN amplification (CN >= 0.6);ERBB3;TCGA-DK-AA6P;-0,03119301;1679616
CN amplification (CN >= 0.6);FGFR3;TCGA-DK-A3IS;-1,451597e-10;1679616
CN amplification (CN >= 0.6);ERBB2;TCGA-DK-A2I6;-0,01710818;1679616
CN amplification (CN >= 0.6);PIK3CA;TCGA-DK-A1A6;-6,77051e-13;1679616
CN amplification (CN >= 0.6);HRNR;TCGA-D8-A3Z6;-0,000298002;1679616
CN amplification (CN >= 0.6);KCNN3;TCGA-D8-A1XT;-0,0454224;1679616
CN amplification (CN >= 0.6);PIK3CA;TCGA-D8-A1XL;-4,567e-13;1679616
CN amplification (CN >= 0.6);PIK3CA;TCGA-D8-A143;-4,567e-13;1679616
CN amplification (CN >= 0.6);ERBB2;TCGA-CU-A3YL;-0,01710818;1679616
CN amplification (CN >= 0.6);KRAS;TCGA-CF-A5UA;-1,578984e-06;1679616
CN amplification (CN >= 0.6);FGFR3;TCGA-CF-A47V;-1,451597e-10;1679616
CN amplification (CN >= 0.6);PIK3CA;TCGA-C8-A3M8;-4,567e-13;1679616
CN amplification (CN >= 0.6);ERBB2;TCGA-C8-A135;-0,002898264;1679616
CN amplification (CN >= 0.6);PIK3CA;TCGA-C8-A12Y;-4,567e-13;1679616
CN amplification (CN >= 0.6);PIK3CA;TCGA-C8-A12L;-4,567e-13;1679616
CN amplification (CN >= 0.6);ATM;TCGA-BT-A42E;-0,02104185;1679616
CN amplification (CN >= 0.6);USP36;TCGA-BH-A18G;-0,04354078;1679616
CN amplification (CN >= 0.6);PIK3CA;TCGA-BH-A0GY;-4,567e-13;1679616
CN amplification (CN >= 0.6);HRNR;TCGA-BH-A0E1;-0,000298002;1679616
CN amplification (CN >= 0.6);PIK3CA;TCGA-BH-A0DL;-4,567e-13;1679616
CN amplification (CN >= 0.6);HRNR;TCGA-B6-A1KC;-0,000298002;1679616
CN amplification (CN >= 0.6);PIK3CA;TCGA-AO-A1KR;-4,567e-13;1679616
CN amplification (CN >= 0.6);GATA3;TCGA-AO-A0J3;-4,567e-13;1679616
CN amplification (CN >= 0.6);PIK3CA;TCGA-AN-A049;-4,567e-13;1679616
CN amplification (CN >= 0.6);HRNR;TCGA-A8-A0A6;-0,000298002;1679616
CN amplification (CN >= 0.6);PIK3CA;TCGA-A8-A08R;-4,567e-13;1679616
CN amplification (CN >= 0.6);PIK3CA;TCGA-A8-A08P;-4,567e-13;1679616
CN amplification (CN >= 0.6);PIK3CA;TCGA-A8-A081;-4,567e-13;1679616
CN amplification (CN >= 0.6);EYS;TCGA-A8-A07R;-0,0443534;1679616
CN amplification (CN >= 0.6);HRNR;TCGA-A8-A07L;-0,000298002;1679616
CN amplification (CN >= 0.6);PIK3CA;TCGA-A8-A07G;-4,567e-13;1679616
CN amplification (CN >= 0.6);NBPF9;TCGA-A8-A07F;-0,01651513;1679616
CN amplification (CN >= 0.6);TGS1;TCGA-A8-A06Q;-0,02683934;1679616
CN amplification (CN >= 0.6);USP36;TCGA-A8-A06N;-0,04354078;1679616
CN amplification (CN >= 0.6);HRNR;TCGA-A7-A0DB;-0,000298002;1679616
CN amplification (CN >= 0.6);ERBB2;TCGA-A2-A3XV;-0,002898264;1679616
CN amplification (CN >= 0.6);RUNX1;TCGA-A2-A0CW;-3,676032e-11;1679616
CN amplification (CN >= 0.6);PIK3CA;TCGA-A2-A04T;-4,567e-13;1679616
CN amplification (CN >= 0.6);FGFR3;TCGA-4Z-AA7Y;-1,451597e-10;1679616
CN amplification (CN >= 0.6);PIK3CA;BRCA-METABRIC-S1-MB-7268;-4,567e-13;1679616
CN amplification (CN >= 0.6);ERBB2;BRCA-METABRIC-S1-MB-7067;-0,002898264;1679616
CN amplification (CN >= 0.6);PIK3CA;BRCA-METABRIC-S1-MB-6234;-4,567e-13;1679616
CN amplification (CN >= 0.6);PIK3CA;BRCA-METABRIC-S1-MB-5471;-4,567e-13;1679616
CN amplification (CN >= 0.6);ERBB2;BRCA-METABRIC-S1-MB-5164;-0,002898264;1679616
CN amplification (CN >= 0.6);ERBB2;BRCA-METABRIC-S1-MB-4548;-0,002898264;1679616
CN amplification (CN >= 0.6);PIK3CA;BRCA-METABRIC-S1-MB-3850;-4,567e-13;1679616
CN amplification (CN >= 0.6);RB1;BRCA-METABRIC-S1-MB-3614;-2,039145e-06;1679616
CN amplification (CN >= 0.6);PIK3CA;BRCA-METABRIC-S1-MB-0621;-4,567e-13;1679616
CN amplification (CN >= 0.6);PIK3CA;BRCA-METABRIC-S1-MB-0389;-4,567e-13;1679616
CN amplification (CN >= 0.6);PIK3CA;BRCA-METABRIC-S1-MB-0303;-4,567e-13;1679616
CN amplification (CN >= 0.6);PIK3CA;BRCA-METABRIC-S1-MB-0286;-4,567e-13;1679616
CN amplification (CN >= 0.6);PIK3CA;BRCA-METABRIC-S1-MB-0207;-4,567e-13;1679616
CN amplification (CN >= 0.6);PIK3CA;BRCA-METABRIC-S1-MB-0111;-4,567e-13;1679616
CN amplification (CN >= 0.6);PIK3CA;BRCA-METABRIC-S1-MB-0101;-4,567e-13;1679616
CN amplification (CN >= 0.6);PTEN;BRCA-METABRIC-S1-MB-0066;-2,433787e-11;1679616
CN gain (0.2 <= CN < 0.6);PIK3CA;TCGA-ZF-AA56;-6,77051e-13;0
CN gain (0.2 <= CN < 0.6);RPTN;TCGA-ZF-AA52;-0,05804315;0
CN gain (0.2 <= CN < 0.6);PIK3CA;TCGA-ZF-AA52;-6,77051e-13;0
CN gain (0.2 <= CN < 0.6);FGFR3;TCGA-ZF-AA4U;-1,451597e-10;0
CN gain (0.2 <= CN < 0.6);CDKN2A;TCGA-ZF-AA4N;-2,538941e-12;0
CN gain (0.2 <= CN < 0.6);RHOB;TCGA-ZF-A9R3;-6,77051e-13;0
CN gain (0.2 <= CN < 0.6);PARD3;TCGA-ZF-A9R0;-0,09809461;0
CN gain (0.2 <= CN < 0.6);RHOB;TCGA-ZF-A9R0;-6,77051e-13;0
CN gain (0.2 <= CN < 0.6);KRAS;TCGA-XF-AAN7;-1,578984e-06;0
CN gain (0.2 <= CN < 0.6);ARID1A;TCGA-XF-AAN7;-3,836622e-12;0
