Cn Gene Value calculated;Gene;Tumor Sample Barcode;Max. Gene Sort Value;Max. Weight for nested sorting
No change (-0.2 < CN < 0.2);KDM6A;TCGA-XF-AAN0;-8,704942e-13;0
No change (-0.2 < CN < 0.2);TSC1;TCGA-XF-AAN0;-5,077883e-13;0
No change (-0.2 < CN < 0.2);PIK3CA;TCGA-XF-AAN0;-6,77051e-13;0
No change (-0.2 < CN < 0.2);ARID1B;TCGA-XF-AAMX;-0,05386966;0
No change (-0.2 < CN < 0.2);ERBB2;TCGA-XF-AAMX;-0,01710818;0
No change (-0.2 < CN < 0.2);CREBBP;TCGA-XF-AAMT;-1,20586e-08;0
No change (-0.2 < CN < 0.2);TMCO4;TCGA-XF-AAML;-0,06793681;0
No change (-0.2 < CN < 0.2);ARID1B;TCGA-XF-AAML;-0,05386966;0
No change (-0.2 < CN < 0.2);ERBB3;TCGA-XF-AAML;-0,03119301;0
No change (-0.2 < CN < 0.2);ATM;TCGA-XF-AAML;-0,02104185;0
No change (-0.2 < CN < 0.2);RXRA;TCGA-XF-AAML;-0,000922686;0
No change (-0.2 < CN < 0.2);C3orf70;TCGA-XF-AAML;-0,000196550;0
No change (-0.2 < CN < 0.2);FAT1;TCGA-XF-AAML;-0,000116499;0
No change (-0.2 < CN < 0.2);ARID1A;TCGA-XF-AAML;-3,836622e-12;0
No change (-0.2 < CN < 0.2);RXRA;TCGA-XF-AAMH;-0,000922686;0
No change (-0.2 < CN < 0.2);KLF5;TCGA-XF-AAMH;-0,000196550;0
No change (-0.2 < CN < 0.2);KRAS;TCGA-XF-AAMH;-1,578984e-06;0
No change (-0.2 < CN < 0.2);RB1;TCGA-XF-AAMF;-5,077883e-13;0
No change (-0.2 < CN < 0.2);ATM;TCGA-XF-AAME;-0,02104185;0
No change (-0.2 < CN < 0.2);FAT1;TCGA-XF-AAME;-0,000116499;0
No change (-0.2 < CN < 0.2);PIK3CA;TCGA-XF-AAME;-6,77051e-13;0
No change (-0.2 < CN < 0.2);SPTAN1;TCGA-XF-A9T8;-0,05242592;0
No change (-0.2 < CN < 0.2);ERBB3;TCGA-XF-A9T8;-0,03119301;0
No change (-0.2 < CN < 0.2);ATM;TCGA-XF-A9T8;-0,02104185;0
No change (-0.2 < CN < 0.2);ERBB2;TCGA-XF-A9T8;-0,01710818;0
No change (-0.2 < CN < 0.2);CUL1;TCGA-XF-A9T8;-0,002056915;0
No change (-0.2 < CN < 0.2);FBXW7;TCGA-XF-A9T8;-0,000958311;0
No change (-0.2 < CN < 0.2);FAT1;TCGA-XF-A9T8;-0,000116499;0
No change (-0.2 < CN < 0.2);ARID1A;TCGA-XF-A9T8;-3,836622e-12;0
No change (-0.2 < CN < 0.2);RB1;TCGA-XF-A9T8;-5,077883e-13;0
No change (-0.2 < CN < 0.2);HRAS;TCGA-XF-A9T4;-4,157188e-07;0
No change (-0.2 < CN < 0.2);FBXW7;TCGA-XF-A9T2;-0,000958311;0
No change (-0.2 < CN < 0.2);STAG2;TCGA-XF-A9T2;-4,671652e-12;0
No change (-0.2 < CN < 0.2);ARID1A;TCGA-XF-A9T2;-3,836622e-12;0
No change (-0.2 < CN < 0.2);ARID1A;TCGA-XF-A9SZ;-3,836622e-12;0
No change (-0.2 < CN < 0.2);RB1;TCGA-XF-A9SZ;-5,077883e-13;0
No change (-0.2 < CN < 0.2);CUL1;TCGA-XF-A9SX;-0,002056915;0
No change (-0.2 < CN < 0.2);DNAH6;TCGA-XF-A9SW;-0,02222557;0
No change (-0.2 < CN < 0.2);ARID1A;TCGA-XF-A9SW;-3,836622e-12;0
No change (-0.2 < CN < 0.2);FGFR3;TCGA-XF-A9SV;-1,451597e-10;0
No change (-0.2 < CN < 0.2);KRAS;TCGA-XF-A9SU;-1,578984e-06;0
No change (-0.2 < CN < 0.2);ERBB2;TCGA-XF-A9ST;-0,01710818;0
No change (-0.2 < CN < 0.2);GNA13;TCGA-XF-A9ST;-0,002813749;0
No change (-0.2 < CN < 0.2);STAG2;TCGA-XF-A9ST;-4,671652e-12;0
No change (-0.2 < CN < 0.2);TSC1;TCGA-XF-A9ST;-5,077883e-13;0
No change (-0.2 < CN < 0.2);RB1;TCGA-XF-A9ST;-5,077883e-13;0
No change (-0.2 < CN < 0.2);ARID1A;TCGA-XF-A9SP;-3,836622e-12;0
No change (-0.2 < CN < 0.2);ERBB2;TCGA-XF-A9SL;-0,01710818;0
No change (-0.2 < CN < 0.2);FGFR3;TCGA-XF-A9SL;-1,451597e-10;0
No change (-0.2 < CN < 0.2);SF1;TCGA-XF-A9SK;-0,02132329;0
No change (-0.2 < CN < 0.2);RHOB;TCGA-XF-A9SK;-6,77051e-13;0
No change (-0.2 < CN < 0.2);ERCC2;TCGA-XF-A9SJ;-1,092379e-09;0
No change (-0.2 < CN < 0.2);KDM6A;TCGA-XF-A9SJ;-8,704942e-13;0
No change (-0.2 < CN < 0.2);RB1;TCGA-XF-A9SJ;-5,077883e-13;0
No change (-0.2 < CN < 0.2);FAM47C;TCGA-XF-A9SH;-0,01191107;0
No change (-0.2 < CN < 0.2);KDM6A;TCGA-XF-A9SH;-8,704942e-13;0
No change (-0.2 < CN < 0.2);DNAH6;TCGA-XF-A8HI;-0,02222557;0
No change (-0.2 < CN < 0.2);ATM;TCGA-XF-A8HI;-0,02104185;0
No change (-0.2 < CN < 0.2);FGFR3;TCGA-XF-A8HI;-1,451597e-10;0
No change (-0.2 < CN < 0.2);STAG2;TCGA-XF-A8HI;-4,671652e-12;0
No change (-0.2 < CN < 0.2);PIK3CA;TCGA-XF-A8HI;-6,77051e-13;0
No change (-0.2 < CN < 0.2);ERBB3;TCGA-XF-A8HH;-0,03119301;0
No change (-0.2 < CN < 0.2);KDM6A;TCGA-XF-A8HH;-8,704942e-13;0
No change (-0.2 < CN < 0.2);UNC93B1;TCGA-UY-A78N;-0,02132329;0
No change (-0.2 < CN < 0.2);ERCC2;TCGA-UY-A78N;-1,092379e-09;0
No change (-0.2 < CN < 0.2);STAG2;TCGA-UY-A78M;-4,671652e-12;0
No change (-0.2 < CN < 0.2);RHOB;TCGA-UY-A78M;-6,77051e-13;0
No change (-0.2 < CN < 0.2);PIK3CA;TCGA-UY-A78M;-6,77051e-13;0
No change (-0.2 < CN < 0.2);SPTAN1;TCGA-UY-A78K;-0,05242592;0
No change (-0.2 < CN < 0.2);ERBB3;TCGA-UY-A78K;-0,03119301;0
No change (-0.2 < CN < 0.2);SCARF2;TCGA-UY-A78K;-0,005845863;0
No change (-0.2 < CN < 0.2);GNA13;TCGA-UY-A78K;-0,002813749;0
No change (-0.2 < CN < 0.2);FAT1;TCGA-UY-A78K;-0,000116499;0
No change (-0.2 < CN < 0.2);TP53;TCGA-UY-A78K;-5,077883e-13;0
No change (-0.2 < CN < 0.2);GNA13;TCGA-SY-A9G0;-0,002813749;0
No change (-0.2 < CN < 0.2);PARD3;TCGA-S5-A6DX;-0,09809461;0
No change (-0.2 < CN < 0.2);TXNIP;TCGA-S5-A6DX;-0,03475802;0
No change (-0.2 < CN < 0.2);HES1;TCGA-S5-A6DX;-0,03029985;0
No change (-0.2 < CN < 0.2);SCARF2;TCGA-S5-A6DX;-0,005845863;0
No change (-0.2 < CN < 0.2);KLF5;TCGA-S5-A6DX;-0,000196550;0
No change (-0.2 < CN < 0.2);CDKN1A;TCGA-S5-A6DX;-2,352752e-11;0
No change (-0.2 < CN < 0.2);GATA3;TCGA-OL-A66K;-4,567e-13;0
No change (-0.2 < CN < 0.2);ERBB2;TCGA-OL-A5D6;-0,002898264;0
No change (-0.2 < CN < 0.2);PIK3CA;TCGA-OL-A5D6;-4,567e-13;0
No change (-0.2 < CN < 0.2);THRAP3;TCGA-K4-A5RI;-0,04514966;0
No change (-0.2 < CN < 0.2);FAM47C;TCGA-K4-A5RI;-0,01191107;0
No change (-0.2 < CN < 0.2);NFE2L2;TCGA-K4-A5RI;-0,001794759;0
No change (-0.2 < CN < 0.2);RHOB;TCGA-K4-A4AC;-6,77051e-13;0
No change (-0.2 < CN < 0.2);ERBB3;TCGA-HQ-A5NE;-0,03119301;0
No change (-0.2 < CN < 0.2);RBM10;TCGA-HQ-A5NE;-0,001178105;0
No change (-0.2 < CN < 0.2);TP53;TCGA-HQ-A5NE;-5,077883e-13;0
No change (-0.2 < CN < 0.2);PIK3CA;TCGA-HQ-A5NE;-6,77051e-13;0
No change (-0.2 < CN < 0.2);TMCO4;TCGA-HQ-A5ND;-0,06793681;0
No change (-0.2 < CN < 0.2);RHOB;TCGA-HQ-A5ND;-6,77051e-13;0
No change (-0.2 < CN < 0.2);PIK3CA;TCGA-HN-A2OB;-4,567e-13;0
No change (-0.2 < CN < 0.2);PTEN;TCGA-GV-A40E;-0,000196550;0
No change (-0.2 < CN < 0.2);RXRA;TCGA-GV-A3QH;-0,000922686;0
No change (-0.2 < CN < 0.2);KDM6A;TCGA-GV-A3QH;-8,704942e-13;0
No change (-0.2 < CN < 0.2);TP53;TCGA-GV-A3QH;-5,077883e-13;0
No change (-0.2 < CN < 0.2);ATM;TCGA-GV-A3QG;-0,02104185;0
No change (-0.2 < CN < 0.2);CREBBP;TCGA-GV-A3QG;-1,20586e-08;0
No change (-0.2 < CN < 0.2);CNOT1;TCGA-GV-A3QF;-0,08089476;0
No change (-0.2 < CN < 0.2);KDM6A;TCGA-GV-A3QF;-8,704942e-13;0
No change (-0.2 < CN < 0.2);TSC1;TCGA-GV-A3QF;-5,077883e-13;0
No change (-0.2 < CN < 0.2);CREBBP;TCGA-GV-A3JV;-1,20586e-08;0
No change (-0.2 < CN < 0.2);ARID1A;TCGA-GV-A3JV;-3,836622e-12;0
No change (-0.2 < CN < 0.2);FGFR3;TCGA-GU-AATQ;-1,451597e-10;0
No change (-0.2 < CN < 0.2);KDM6A;TCGA-GU-AATQ;-8,704942e-13;0
No change (-0.2 < CN < 0.2);TP53;TCGA-GU-AATO;-5,077883e-13;0
No change (-0.2 < CN < 0.2);PARD3;TCGA-GU-A767;-0,09809461;0
No change (-0.2 < CN < 0.2);SCARF2;TCGA-GU-A767;-0,005845863;0
No change (-0.2 < CN < 0.2);ERBB2;TCGA-GU-A767;-0,01710818;0
No change (-0.2 < CN < 0.2);NUDT11;TCGA-GU-A762;-0,003204149;0
No change (-0.2 < CN < 0.2);ARID1A;TCGA-GU-A42R;-3,836622e-12;0
No change (-0.2 < CN < 0.2);KDM6A;TCGA-GU-A42R;-8,704942e-13;0
No change (-0.2 < CN < 0.2);PARD3;TCGA-GU-A42Q;-0,09809461;0
No change (-0.2 < CN < 0.2);CDKN2A;TCGA-GU-A42Q;-2,538941e-12;0
No change (-0.2 < CN < 0.2);TP53;TCGA-GU-A42P;-5,077883e-13;0
No change (-0.2 < CN < 0.2);TPP2;TCGA-GM-A2D9;-0,08620584;0
No change (-0.2 < CN < 0.2);FBXW7;TCGA-GM-A2D9;-0,06352646;0
No change (-0.2 < CN < 0.2);RUNX1;TCGA-GM-A2D9;-3,676032e-11;0
No change (-0.2 < CN < 0.2);PIK3CA;TCGA-GM-A2D9;-4,567e-13;0
No change (-0.2 < CN < 0.2);SPTAN1;TCGA-GD-A76B;-0,05242592;0
No change (-0.2 < CN < 0.2);KLF5;TCGA-GD-A76B;-0,000196550;0
No change (-0.2 < CN < 0.2);ARID1A;TCGA-GD-A76B;-3,836622e-12;0
No change (-0.2 < CN < 0.2);KDM6A;TCGA-GD-A76B;-8,704942e-13;0
No change (-0.2 < CN < 0.2);ELF3;TCGA-GD-A76B;-5,077883e-13;0
No change (-0.2 < CN < 0.2);THRAP3;TCGA-GC-A6I1;-0,04514966;0
No change (-0.2 < CN < 0.2);FAM47C;TCGA-GC-A6I1;-0,01191107;0
No change (-0.2 < CN < 0.2);CDKN2A;TCGA-GC-A6I1;-2,538941e-12;0
No change (-0.2 < CN < 0.2);ELF3;TCGA-GC-A6I1;-5,077883e-13;0
No change (-0.2 < CN < 0.2);TP53;TCGA-GC-A6I1;-5,077883e-13;0
No change (-0.2 < CN < 0.2);FAM47C;TCGA-GC-A3I6;-0,01191107;0
No change (-0.2 < CN < 0.2);EP300;TCGA-GC-A3BM;-3,781069e-11;0
No change (-0.2 < CN < 0.2);PARD3;TCGA-G2-AA3C;-0,09809461;0
No change (-0.2 < CN < 0.2);ATM;TCGA-G2-AA3C;-0,02104185;0
No change (-0.2 < CN < 0.2);FOXQ1;TCGA-G2-AA3C;-0,01160921;0
No change (-0.2 < CN < 0.2);ERBB2;TCGA-G2-AA3C;-0,01710818;0
No change (-0.2 < CN < 0.2);NFE2L2;TCGA-G2-AA3C;-0,001794759;0
No change (-0.2 < CN < 0.2);KRAS;TCGA-G2-AA3C;-1,578984e-06;0
No change (-0.2 < CN < 0.2);KDM6A;TCGA-G2-AA3C;-8,704942e-13;0
No change (-0.2 < CN < 0.2);PIK3CA;TCGA-G2-AA3C;-6,77051e-13;0
No change (-0.2 < CN < 0.2);SPTAN1;TCGA-G2-A3IE;-0,05242592;0
No change (-0.2 < CN < 0.2);ATM;TCGA-G2-A3IE;-0,02104185;0
No change (-0.2 < CN < 0.2);FAM47C;TCGA-G2-A3IE;-0,01191107;0
No change (-0.2 < CN < 0.2);NFE2L2;TCGA-G2-A3IB;-0,001794759;0
No change (-0.2 < CN < 0.2);CDKN1A;TCGA-G2-A3IB;-2,352752e-11;0
No change (-0.2 < CN < 0.2);TP53;TCGA-G2-A3IB;-5,077883e-13;0
No change (-0.2 < CN < 0.2);CNOT1;TCGA-G2-A2ES;-0,08089476;0
No change (-0.2 < CN < 0.2);MBD1;TCGA-G2-A2ES;-0,004789179;0
No change (-0.2 < CN < 0.2);FBXW7;TCGA-G2-A2ES;-0,000958311;0
No change (-0.2 < CN < 0.2);ERCC2;TCGA-G2-A2ES;-1,092379e-09;0
No change (-0.2 < CN < 0.2);CDKN2A;TCGA-G2-A2ES;-2,538941e-12;0
No change (-0.2 < CN < 0.2);KDM6A;TCGA-G2-A2ES;-8,704942e-13;0
No change (-0.2 < CN < 0.2);TP53;TCGA-G2-A2ES;-5,077883e-13;0
No change (-0.2 < CN < 0.2);CNOT1;TCGA-G2-A2EO;-0,08089476;0
No change (-0.2 < CN < 0.2);TXNIP;TCGA-G2-A2EO;-0,03475802;0
No change (-0.2 < CN < 0.2);ERBB3;TCGA-G2-A2EO;-0,03119301;0
No change (-0.2 < CN < 0.2);C3orf70;TCGA-G2-A2EO;-0,000196550;0
No change (-0.2 < CN < 0.2);FAT1;TCGA-G2-A2EO;-0,000116499;0
No change (-0.2 < CN < 0.2);CREBBP;TCGA-G2-A2EO;-1,20586e-08;0
No change (-0.2 < CN < 0.2);KDM6A;TCGA-G2-A2EO;-8,704942e-13;0
No change (-0.2 < CN < 0.2);ELF3;TCGA-G2-A2EO;-5,077883e-13;0
No change (-0.2 < CN < 0.2);PIK3CA;TCGA-G2-A2EO;-6,77051e-13;0
No change (-0.2 < CN < 0.2);EP300;TCGA-G2-A2EL;-3,781069e-11;0
No change (-0.2 < CN < 0.2);KDM6A;TCGA-G2-A2EL;-8,704942e-13;0
No change (-0.2 < CN < 0.2);RB1;TCGA-G2-A2EL;-5,077883e-13;0
No change (-0.2 < CN < 0.2);ATM;TCGA-FT-A3EE;-0,02104185;0
No change (-0.2 < CN < 0.2);HRAS;TCGA-FT-A3EE;-4,157188e-07;0
No change (-0.2 < CN < 0.2);KRAS;TCGA-FJ-A871;-1,578984e-06;0
No change (-0.2 < CN < 0.2);CREBBP;TCGA-FJ-A871;-1,20586e-08;0
No change (-0.2 < CN < 0.2);PTEN;TCGA-FJ-A871;-0,000196550;0
No change (-0.2 < CN < 0.2);ARID1A;TCGA-FJ-A871;-3,836622e-12;0
No change (-0.2 < CN < 0.2);KDM6A;TCGA-FJ-A871;-8,704942e-13;0
No change (-0.2 < CN < 0.2);ATM;TCGA-FJ-A3ZE;-0,02104185;0
No change (-0.2 < CN < 0.2);FGFR3;TCGA-FJ-A3ZE;-1,451597e-10;0
No change (-0.2 < CN < 0.2);STAG2;TCGA-FJ-A3ZE;-4,671652e-12;0
No change (-0.2 < CN < 0.2);KDM6A;TCGA-FJ-A3ZE;-8,704942e-13;0
No change (-0.2 < CN < 0.2);KLF5;TCGA-FJ-A3Z9;-0,000196550;0
No change (-0.2 < CN < 0.2);CREBBP;TCGA-FJ-A3Z9;-1,20586e-08;0
No change (-0.2 < CN < 0.2);ARID1A;TCGA-FJ-A3Z9;-3,836622e-12;0
No change (-0.2 < CN < 0.2);SPTAN1;TCGA-FD-A6TI;-0,05242592;0
No change (-0.2 < CN < 0.2);ATM;TCGA-FD-A6TI;-0,02104185;0
No change (-0.2 < CN < 0.2);ARID1A;TCGA-FD-A6TI;-3,836622e-12;0
No change (-0.2 < CN < 0.2);CDKN2A;TCGA-FD-A6TI;-2,538941e-12;0
No change (-0.2 < CN < 0.2);TSC1;TCGA-FD-A6TI;-5,077883e-13;0
No change (-0.2 < CN < 0.2);ELF3;TCGA-FD-A6TI;-5,077883e-13;0
No change (-0.2 < CN < 0.2);ERBB3;TCGA-FD-A6TG;-0,03119301;0
No change (-0.2 < CN < 0.2);METTL3;TCGA-FD-A6TG;-0,01220648;0
No change (-0.2 < CN < 0.2);CUL1;TCGA-FD-A6TG;-0,002056915;0
No change (-0.2 < CN < 0.2);EP300;TCGA-FD-A6TG;-3,781069e-11;0
No change (-0.2 < CN < 0.2);ARID1A;TCGA-FD-A6TG;-3,836622e-12;0
No change (-0.2 < CN < 0.2);FBXW7;TCGA-FD-A6TF;-0,000958311;0
No change (-0.2 < CN < 0.2);TSC1;TCGA-FD-A6TF;-5,077883e-13;0
No change (-0.2 < CN < 0.2);RB1;TCGA-FD-A6TF;-5,077883e-13;0
No change (-0.2 < CN < 0.2);TP53;TCGA-FD-A6TF;-5,077883e-13;0
No change (-0.2 < CN < 0.2);CUL1;TCGA-FD-A6TD;-0,002056915;0
No change (-0.2 < CN < 0.2);RB1;TCGA-FD-A6TD;-5,077883e-13;0
No change (-0.2 < CN < 0.2);PIK3CA;TCGA-FD-A6TD;-6,77051e-13;0
No change (-0.2 < CN < 0.2);EP300;TCGA-FD-A62S;-3,781069e-11;0
No change (-0.2 < CN < 0.2);TP53;TCGA-FD-A62S;-5,077883e-13;0
No change (-0.2 < CN < 0.2);FAM47C;TCGA-FD-A62P;-0,01191107;0
No change (-0.2 < CN < 0.2);ASXL2;TCGA-FD-A62P;-0,000254107;0
No change (-0.2 < CN < 0.2);RHOA;TCGA-FD-A62P;-2,637318e-05;0
No change (-0.2 < CN < 0.2);ARID1A;TCGA-FD-A62P;-3,836622e-12;0
No change (-0.2 < CN < 0.2);PIK3CA;TCGA-FD-A62P;-6,77051e-13;0
No change (-0.2 < CN < 0.2);ERBB3;TCGA-FD-A62O;-0,03119301;0
No change (-0.2 < CN < 0.2);RBM10;TCGA-FD-A62O;-0,001178105;0
No change (-0.2 < CN < 0.2);RHOA;TCGA-FD-A62O;-2,637318e-05;0
No change (-0.2 < CN < 0.2);FOXA1;TCGA-FD-A62O;-1,219883e-06;0
No change (-0.2 < CN < 0.2);ARID1A;TCGA-FD-A62O;-3,836622e-12;0
No change (-0.2 < CN < 0.2);ELF3;TCGA-FD-A62O;-5,077883e-13;0
No change (-0.2 < CN < 0.2);ASXL2;TCGA-FD-A5C0;-0,000254107;0
No change (-0.2 < CN < 0.2);KDM6A;TCGA-FD-A5C0;-8,704942e-13;0
No change (-0.2 < CN < 0.2);RB1;TCGA-FD-A5C0;-5,077883e-13;0
No change (-0.2 < CN < 0.2);RXRA;TCGA-FD-A5BX;-0,000922686;0
No change (-0.2 < CN < 0.2);STAG2;TCGA-FD-A5BX;-4,671652e-12;0
No change (-0.2 < CN < 0.2);KDM6A;TCGA-FD-A5BX;-8,704942e-13;0
No change (-0.2 < CN < 0.2);PIK3CA;TCGA-FD-A5BX;-6,77051e-13;0
No change (-0.2 < CN < 0.2);FAM47C;TCGA-FD-A5BV;-0,01191107;0
No change (-0.2 < CN < 0.2);KDM6A;TCGA-FD-A5BV;-8,704942e-13;0
No change (-0.2 < CN < 0.2);PSIP1;TCGA-FD-A3SS;-0,000196550;0
No change (-0.2 < CN < 0.2);KLF5;TCGA-FD-A3SS;-0,000196550;0
No change (-0.2 < CN < 0.2);TP53;TCGA-FD-A3SS;-5,077883e-13;0
No change (-0.2 < CN < 0.2);MBD1;TCGA-FD-A3SR;-0,004789179;0
No change (-0.2 < CN < 0.2);ARID1A;TCGA-FD-A3SR;-3,836622e-12;0
No change (-0.2 < CN < 0.2);TP53;TCGA-FD-A3SR;-5,077883e-13;0
No change (-0.2 < CN < 0.2);STAG2;TCGA-FD-A3SQ;-4,671652e-12;0
No change (-0.2 < CN < 0.2);ELF3;TCGA-FD-A3SQ;-5,077883e-13;0
No change (-0.2 < CN < 0.2);PSIP1;TCGA-FD-A3SO;-0,000196550;0
No change (-0.2 < CN < 0.2);RHOA;TCGA-FD-A3SO;-2,637318e-05;0
No change (-0.2 < CN < 0.2);CDKN1A;TCGA-FD-A3SO;-2,352752e-11;0
No change (-0.2 < CN < 0.2);RB1;TCGA-FD-A3SO;-5,077883e-13;0
No change (-0.2 < CN < 0.2);PIK3CA;TCGA-FD-A3SO;-6,77051e-13;0
No change (-0.2 < CN < 0.2);NFE2L2;TCGA-FD-A3SM;-0,001794759;0
No change (-0.2 < CN < 0.2);CREBBP;TCGA-FD-A3SM;-1,20586e-08;0
No change (-0.2 < CN < 0.2);FGFR3;TCGA-FD-A3SM;-1,451597e-10;0
No change (-0.2 < CN < 0.2);EP300;TCGA-FD-A3SM;-3,781069e-11;0
No change (-0.2 < CN < 0.2);CDKN1A;TCGA-FD-A3SM;-2,352752e-11;0
No change (-0.2 < CN < 0.2);STAG2;TCGA-FD-A3SM;-4,671652e-12;0
No change (-0.2 < CN < 0.2);ATM;TCGA-FD-A3SL;-0,02104185;0
No change (-0.2 < CN < 0.2);FOXA1;TCGA-FD-A3SL;-1,219883e-06;0
No change (-0.2 < CN < 0.2);CREBBP;TCGA-FD-A3SL;-1,20586e-08;0
No change (-0.2 < CN < 0.2);ARID1A;TCGA-FD-A3SL;-3,836622e-12;0
No change (-0.2 < CN < 0.2);KDM6A;TCGA-FD-A3SL;-8,704942e-13;0
No change (-0.2 < CN < 0.2);RHOB;TCGA-FD-A3SL;-6,77051e-13;0
No change (-0.2 < CN < 0.2);RB1;TCGA-FD-A3SL;-5,077883e-13;0
No change (-0.2 < CN < 0.2);TP53;TCGA-FD-A3SL;-5,077883e-13;0
No change (-0.2 < CN < 0.2);ERBB3;TCGA-FD-A3SJ;-0,03119301;0
No change (-0.2 < CN < 0.2);KDM6A;TCGA-FD-A3SJ;-8,704942e-13;0
No change (-0.2 < CN < 0.2);CREBBP;TCGA-FD-A3N5;-1,20586e-08;0
No change (-0.2 < CN < 0.2);ERCC2;TCGA-FD-A3N5;-1,092379e-09;0
No change (-0.2 < CN < 0.2);KDM6A;TCGA-FD-A3N5;-8,704942e-13;0
No change (-0.2 < CN < 0.2);TP53;TCGA-FD-A3N5;-5,077883e-13;0
No change (-0.2 < CN < 0.2);CDKN1A;TCGA-FD-A3B7;-2,352752e-11;0
No change (-0.2 < CN < 0.2);RB1;TCGA-FD-A3B7;-5,077883e-13;0
No change (-0.2 < CN < 0.2);TP53;TCGA-FD-A3B7;-5,077883e-13;0
No change (-0.2 < CN < 0.2);PIK3CA;TCGA-FD-A3B7;-6,77051e-13;0
No change (-0.2 < CN < 0.2);PARD3;TCGA-FD-A3B6;-0,09809461;0
No change (-0.2 < CN < 0.2);TP53;TCGA-FD-A3B6;-5,077883e-13;0
No change (-0.2 < CN < 0.2);STAG2;TCGA-FD-A3B5;-4,671652e-12;0
No change (-0.2 < CN < 0.2);KDM6A;TCGA-FD-A3B5;-8,704942e-13;0
No change (-0.2 < CN < 0.2);PIK3CA;TCGA-FD-A3B5;-6,77051e-13;0
No change (-0.2 < CN < 0.2);ARID1A;TCGA-FD-A3B3;-3,836622e-12;0
No change (-0.2 < CN < 0.2);SP3;TCGA-E9-A245;-0,01962505;0
No change (-0.2 < CN < 0.2);GATA3;TCGA-E9-A245;-4,567e-13;0
No change (-0.2 < CN < 0.2);KRAS;TCGA-E9-A1NG;-0,01061282;0
No change (-0.2 < CN < 0.2);PIK3CA;TCGA-E9-A1NG;-4,567e-13;0
No change (-0.2 < CN < 0.2);EP300;TCGA-E7-A97Q;-3,781069e-11;0
No change (-0.2 < CN < 0.2);HRAS;TCGA-E7-A97P;-4,157188e-07;0
No change (-0.2 < CN < 0.2);ERCC2;TCGA-E7-A97P;-1,092379e-09;0
No change (-0.2 < CN < 0.2);STAG2;TCGA-E7-A97P;-4,671652e-12;0
No change (-0.2 < CN < 0.2);PARD3;TCGA-E7-A541;-0,09809461;0
No change (-0.2 < CN < 0.2);ARID1B;TCGA-E7-A541;-0,05386966;0
No change (-0.2 < CN < 0.2);ERBB3;TCGA-E7-A541;-0,03119301;0
No change (-0.2 < CN < 0.2);SF1;TCGA-E7-A541;-0,02132329;0
No change (-0.2 < CN < 0.2);ARID1A;TCGA-E7-A541;-3,836622e-12;0
No change (-0.2 < CN < 0.2);ATM;TCGA-E7-A4XJ;-0,02104185;0
No change (-0.2 < CN < 0.2);KRAS;TCGA-E7-A4XJ;-1,578984e-06;0
No change (-0.2 < CN < 0.2);ARID1A;TCGA-E7-A4XJ;-3,836622e-12;0
No change (-0.2 < CN < 0.2);TMCO4;TCGA-E7-A4IJ;-0,06793681;0
No change (-0.2 < CN < 0.2);ARID1B;TCGA-E7-A4IJ;-0,05386966;0
No change (-0.2 < CN < 0.2);ERBB3;TCGA-E7-A4IJ;-0,03119301;0
No change (-0.2 < CN < 0.2);FAT1;TCGA-E7-A4IJ;-0,000116499;0
No change (-0.2 < CN < 0.2);STAG2;TCGA-E7-A4IJ;-4,671652e-12;0
No change (-0.2 < CN < 0.2);NUDT11;TCGA-E7-A3X6;-0,003204149;0
No change (-0.2 < CN < 0.2);FGFR3;TCGA-E7-A3X6;-1,451597e-10;0
No change (-0.2 < CN < 0.2);ERBB3;TCGA-E5-A4TZ;-0,03119301;0
No change (-0.2 < CN < 0.2);RBM10;TCGA-E5-A4TZ;-0,001178105;0
No change (-0.2 < CN < 0.2);RXRA;TCGA-E5-A4TZ;-0,000922686;0
No change (-0.2 < CN < 0.2);ASXL2;TCGA-E5-A4TZ;-0,000254107;0
No change (-0.2 < CN < 0.2);ARID1A;TCGA-E5-A4TZ;-3,836622e-12;0
No change (-0.2 < CN < 0.2);RB1;TCGA-E5-A4TZ;-5,077883e-13;0
No change (-0.2 < CN < 0.2);PIK3CA;TCGA-E2-A2P5;-4,567e-13;0
No change (-0.2 < CN < 0.2);CDC42EP1;TCGA-E2-A1LK;-0,008173351;0
No change (-0.2 < CN < 0.2);RBMX;TCGA-E2-A1LK;-6,586195e-06;0
No change (-0.2 < CN < 0.2);KDM6A;TCGA-E2-A1LK;-0,008487218;0
No change (-0.2 < CN < 0.2);PIK3CA;TCGA-E2-A1B4;-4,567e-13;0
No change (-0.2 < CN < 0.2);MAP3K1;TCGA-E2-A1B4;-4,567e-13;0
No change (-0.2 < CN < 0.2);TBX3;TCGA-E2-A15M;-1,454685e-06;0
No change (-0.2 < CN < 0.2);FBXW7;TCGA-DK-AA75;-0,000958311;0
No change (-0.2 < CN < 0.2);ERCC2;TCGA-DK-AA75;-1,092379e-09;0
No change (-0.2 < CN < 0.2);ELF3;TCGA-DK-AA75;-5,077883e-13;0
No change (-0.2 < CN < 0.2);EP300;TCGA-DK-AA6W;-3,781069e-11;0
No change (-0.2 < CN < 0.2);ARID1A;TCGA-DK-AA6W;-3,836622e-12;0
No change (-0.2 < CN < 0.2);ERBB2;TCGA-DK-AA6L;-0,01710818;0
